FECHA,CORREO,RAZON_SOCIAL,NUMERO_RUC,NOMBRE_ESTABLECIMIENTO,ACTIVIDAD_PRINCIPAL,DEPARTAMENTO,PROVINCIA,DISTRITO,DNI_RESPONSABLE,NOMBRE_RESPONSABLE,TELEFONO_RESPONSABLE,CONSUMO_ELECTRICO_WATT,CONSUMO_AGUA_PROCESO_L,CONSUMO_AGUA_OFICINAS_L,AGUAS_RESIDUALES,UNIDAD_MEDIDA,METODO_CALCULO
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,Fabricacion de productos metalicos,Lima,Callao,La Molina,49501645,Responsable_Establecimiento_1_6322,97492440,990754,1509012,98327,3435.85,m3,Estimacion
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,Actividad industrial general,Lima,Lima,Lince,43941847,Responsable_Establecimiento_1_3372,95960351,4324242,353751,103255,2971.01,m3,Estimacion
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,Actividad industrial general,Lima,Lima,Lince,47998345,Responsable_Establecimiento_2_3372,98263662,2802167,644344,81528,3267.23,m3,Balance hidrico
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_3_3372,Actividad industrial general,Lima,Lima,La Molina,46552660,Responsable_Establecimiento_3_3372,98855899,2368680,1359428,130660,4043.9,m3,Balance hidrico
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_4_3372,Actividad industrial general,Lima,Callao,San Isidro,47109482,Responsable_Establecimiento_4_3372,92550992,4464059,351324,109799,805.63,m3,Balance hidrico
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_5_3372,Actividad industrial general,Lima,Lima,Surco,47418747,Responsable_Establecimiento_5_3372,96696712,4878958,573691,140390,644.46,m3,Balance hidrico
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_6_3372,Actividad industrial general,Lima,Lima,San Isidro,41544228,Responsable_Establecimiento_6_3372,93315400,4656555,1664991,83073,4209.07,m3,Estimacion
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_7_3372,Actividad industrial general,Lima,Lima,Surco,43531795,Responsable_Establecimiento_7_3372,95572563,2095905,204935,180320,4900.29,m3,Medicion directa
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_1_5667,Elaboracion de productos alimenticios,Lima,Callao,Surco,42025078,Responsable_Establecimiento_1_5667,91669008,639338,504400,113055,1812.09,m3,Medicion directa
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_2_5667,Elaboracion de productos alimenticios,Lima,Lima,San Isidro,46070975,Responsable_Establecimiento_2_5667,96440788,3751904,1521435,79582,2745.0,m3,Medicion directa
