FECHA,CORREO,RAZON_SOCIAL,NUMERO_RUC,NOMBRE_ESTABLECIMIENTO,HC4-Ducto,HC4-Caudal_Ls,HC4-Horas_ano,HC4-Tipo,HC4-Fluido,HC4-Presion_bar
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,D-01,32.1,8578,Liquido proceso,Metal fundido,5.0
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,D-02,21.6,6211,Agua residual,Agua,4.9
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,D-03,16.8,6421,Emision gaseosa,Aceite industrial,2.2
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,D-01,18.9,7684,Emision gaseosa,Agua,2.7
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,D-01,25.4,6871,Emision gaseosa,Aire comprimido,2.6
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,D-02,8.0,6385,Emision gaseosa,Aire comprimido,3.3
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_3_3372,D-01,11.8,7746,Emision gaseosa,Aire comprimido,2.8
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_4_3372,D-01,43.9,6988,Liquido proceso,Aire comprimido,5.0
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_4_3372,D-02,40.0,8092,Liquido proceso,Agua,3.1
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_5_3372,D-01,22.8,6230,Agua residual,Aire comprimido,4.6
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_6_3372,D-01,30.6,6785,Emision gaseosa,Aire comprimido,2.2
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_6_3372,D-02,17.0,8227,Emision gaseosa,Agua,2.0
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_6_3372,D-03,15.0,6324,Liquido proceso,Agua,3.3
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_7_3372,D-01,13.4,8321,Emision gaseosa,Agua,4.8
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_1_5667,D-01,49.2,7073,Liquido proceso,Aceite vegetal,4.7
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_1_5667,D-02,35.2,7739,Emision gaseosa,Agua,4.3
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_2_5667,D-01,34.0,8213,Emision gaseosa,Agua,2.5
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_2_5667,D-02,12.0,7094,Emision gaseosa,Aceite vegetal,3.6
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_3_5667,D-01,48.0,6026,Emision gaseosa,Agua,1.0
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_3_5667,D-02,45.0,6331,Liquido proceso,Agua,3.3
6/23/2025 9:35:52,raysareyesv@gmail.com,Energia Renovable del Sur ,20392847406,Establecimiento_1_7406,D-01,6.2,6129,Liquido proceso,Agua,1.3
6/23/2025 9:35:52,raysareyesv@gmail.com,Energia Renovable del Sur ,20392847406,Establecimiento_1_7406,D-02,13.8,6176,Liquido proceso,Vapor,2.3
6/23/2025 9:35:52,raysareyesv@gmail.com,Energia Renovable del Sur ,20392847406,Establecimiento_1_7406,D-03,13.3,6493,Agua residual,Vapor,3.1
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_1_9123,D-01,22.0,7854,Liquido proceso,Agua,1.7
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_1_9123,D-02,23.8,6416,Liquido proceso,Agua,4.6
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_2_9123,D-01,42.6,6515,Agua residual,Aire comprimido,3.5
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_2_9123,D-02,42.6,7700,Liquido proceso,Agua,1.6
7/1/2025 14:22:18,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,Establecimiento_2_9123,D-03,28.3,7182,Agua residual,Aire comprimido,3.4
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_1_1234,D-01,19.9,7224,Agua residual,Agua,2.7
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_1_1234,D-02,25.0,6108,Liquido proceso,Agua,2.3
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_2_1234,D-01,32.1,8372,Agua residual,Agua,1.5
7/2/2025 10:15:33,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,Establecimiento_3_1234,D-01,31.7,8347,Agua residual,Agua,4.4
7/3/2025 16:45:12,rlopez.quimica@yahoo.com,QUIMICA INDUSTRIAL LIMA S.A,20678912345,Establecimiento_1_2345,D-01,17.5,8404,Agua residual,Agua,2.8
7/3/2025 16:45:12,rlopez.quimica@yahoo.com,QUIMICA INDUSTRIAL LIMA S.A,20678912345,Establecimiento_1_2345,D-02,9.4,8472,Emision gaseosa,Agua,1.3
